DEP,Libelle,nb_communes,total_communes,pct_communes,pop_equip,total_pop,pct_pop
04,sage_femme,15,198,"0,07575757576","72841,5","153146,5","0,4756328091"
04,infirmier,60,198,"0,303030303","124122,5","153146,5","0,8104821201"
04,laboratoire_d_analyses_et_de_biologie_medicale,8,198,"0,0404040404",64542,"153146,5","0,4214396019"
04,ambulance,14,198,"0,07070707071","53393,25","153146,5","0,3486416601"
04,pharmacie,38,198,"0,1919191919","109915,75","153146,5","0,7177163696"
04,cinema,12,198,"0,06060606061",64451,"153146,5","0,4208453997"
04,bibliotheque,87,198,"0,4393939394","126038,5","153146,5","0,8229930165"
04,arts_du_spectacle,2,198,"0,0101010101","26799,75","153146,5","0,1749942049"
04,decheterie,32,198,"0,1616161616","82777,25","153146,5","0,5405102304"
05,police,1,162,"0,006172839506","38406,25",134346,"0,2858756494"
05,gendarmerie,20,162,"0,1234567901","45103,25",134346,"0,3357245471"
05,reseau_de_proximite_pole_emploi,3,162,"0,01851851852","55559,25",134346,"0,4135534366"
05,aeroport,0,162,0,0,134346,0
05,gare_de_voyageurs_d_interet_national,0,162,0,0,134346,0
05,gare_de_voyageurs_d_interet_regional,6,162,"0,03703703704",61644,134346,"0,4588450717"
05,gare_de_voyageurs_d_interet_local,4,162,"0,02469135802",8205,134346,"0,06107364566"
05,implantations_france_services_ifs,20,162,"0,1234567901",45182,134346,"0,3363107201"
05,bureau_de_poste,29,162,"0,1790123457","90490,25",134346,"0,6735611779"
05,agence_postale,50,162,"0,3086419753","25082,75",134346,"0,1867026186"
05,ecole_maternelle,11,162,"0,06790123457",69204,134346,"0,5151176812"
05,ecole_primaire,73,162,"0,450617284",107877,134346,"0,8029788754"
05,ecole_elementaire,23,162,"0,1419753086",70134,134346,"0,5220401054"
05,college,11,162,"0,06790123457","74094,75",134346,"0,5515218168"
05,lycee_d_enseignement_general_et_ou_technologique,3,162,"0,01851851852","55559,25",134346,"0,4135534366"
05,lycee_d_enseignement_professionnel,4,162,"0,02469135802","48592,25",134346,"0,361694803"
05,lycee_d_enseignement_technique_et_ou_professionnel_agricole,2,162,"0,01234567901","38888,25",134346,"0,2894634005"
05,etablissement_sante_court_sejour,4,162,"0,02469135802","55861,25",134346,"0,4158013636"
